,Ticker
0,20MICRONS
1,21STCENMGM
2,3MINDIA
3,3PLAND
4,3RDROCK
5,5PAISA
6,63MOONS
7,ABINFRA
8,A2ZINFRA
9,AAKASH
10,AARON
11,AARTIDRUGS
12,AARTIIND
13,AARVEEDEN
14,AARVI
15,AAVAS
16,ABAN
17,ABB
18,POWERINDIA
19,ACC
20,ACCELYA
21,ACCURACY
22,ACEINTEG
23,ACE
24,ADANIENT
25,ADANIGREEN
26,ADANIPORTS
27,ADANIPOWER
28,ADANITRANS
29,ADFFOODS
30,ABCAPITAL
31,ABFRL
32,BIRLAMONEY
33,ADORWELD
34,ADROITINFO
35,ADVENZYMES
36,ADVANIHOTR
37,AEGISCHEM
38,AFFLE
39,AGARIND
40,AGRITECH
41,AGROPHOS
42,ATFL
43,AHLADA
44,AHLUCONT
45,AIAENG
46,AIRAN
47,AIROLAM
48,AJANTPHARM
49,AJMERA
50,AJOONI
51,AKASH
52,AKG
53,AKSHOPTFBR
54,AKSHARCHEM
55,AKZOINDIA
56,ALANKIT
57,ALBERTDAVD
58,ALCHEM
59,ALEMBICLTD
60,APLLTD
61,ALICON
62,ALKALI
63,ALKEM
64,ALKYLAMINE
65,ALLCARGO
66,ADSL
67,ALLSEC
68,ALMONDZ
69,ALOKINDS
70,ALPA
71,ALPHAGEO
72,ALPSINDUS
73,AMARAJABAT
74,AMBER
75,AMBIKCO
76,AMBUJACEM
77,AMDIND
78,ASIL
79,AMJLAND
80,AMRUTANJAN
81,ANANTRAJ
82,ANDHRACEMT
83,ANDHRAPAP
84,AISL
85,ANIKINDS
86,APCL
87,ANKITMETAL
88,ANSALHSG
89,ANSALAPI
90,APARINDS
91,APCOTEXIND
92,APEX
93,APLAPOLLO
94,APOLLOHOSP
95,APOLLO
96,APOLLOPIPE
97,APOLSINHOT
98,APOLLOTYRE
99,APTECHT
100,ARCHIDPLY
101,ARCHIES
102,ARCOTECH
103,ARIES
104,ARIHANT
105,ARIHANTSUP
106,ARMANFIN
107,AROGRANITE
108,ARROWGREEN
109,ARSHIYA
110,ARSSINFRA
111,ARTNIRMAN
112,ARTEMISMED
113,ARVEE
114,ARVINDFASN
115,ARVIND
116,ARVSMART
117,ASAHIINDIA
118,ASAHISONG
119,ASHAPURMIN
120,ASHIANA
121,ASHIMASYN
122,ASHOKLEY
123,ASHOKA
124,ASIANTILES
125,AHLEAST
126,ASIANHOTNR
127,AHLWEST
128,ASIANPAINT
129,ASPINWALL
130,ASALCBR
131,ASTEC
132,ASTERDM
133,ASTRAMICRO
134,ASTRAL
135,ASTRAZEN
136,ASTRON
137,ATLANTA
138,ATLASCYCLE
139,ATNINTER
140,ATULAUTO
141,ATUL
142,AUBANK
143,AURIONPRO
144,AUROPHARMA
145,AUSOMENT
146,AUTOIND
147,AUTOLITIND
148,AUTOAXLES
149,ASAL
150,AVADHSUGAR
151,AVANTIFEED
152,DMART
153,AVG
154,AVROIND
155,AVTNPL
156,AXISBANK
157,AXISCADES
158,AYMSYNTEX
159,BBTCL
160,BLKASHYAP
161,BAGFILMS
162,BAFNAPH
163,BAJAJ-AUTO
164,BAJAJCON
165,BAJAJELEC
166,BAJFINANCE
167,BAJAJFINSV
168,BAJAJHIND
169,BAJAJHLDNG
170,BALPHARMA
171,BALAMINES
172,BALAJITELE
173,BALAXI
174,BALKRISIND
175,BALKRISHNA
176,BALLARPUR
177,BALMLAWRIE
178,BALRAMCHIN
179,BANARBEADS
180,BANCOINDIA
181,BANDHANBNK
182,BANG
183,BANKBARODA
184,BANKINDIA
185,MAHABANK
186,BANKA
187,BASML
188,BANARISUG
189,BANSWRAS
190,BVCL
191,BASF
192,BATAINDIA
193,BEARDSELL
194,BEDMUTHA
195,BEML
196,BERGEPAINT
197,BFINVEST
198,BFUTILITIE
199,BGRENERGY
200,BHAGERIA
201,BHAGYANGR
202,BHALCHANDR
203,BHANDARI
204,BEPL
205,BBL
206,BDL
207,BEL
208,BHARATFORG
209,BHARATGEAR
210,BHEL
211,BPCL
212,BHARATRAS
213,BRNL
214,BHARATWIRE
215,BHARTIARTL
216,BIL
217,BIGBLOC
218,BILENERGY
219,BIOCON
220,BIOFILCHEM
221,BIRLACABLE
222,BIRLACORPN
223,BIRLATYRE
224,BSOFT
225,BKMINDST
226,BLBLIMITED
227,BLISSGVS
228,BLS
229,BLUECHIP
230,BLUECOAST
231,BLUEDART
232,BLUESTARCO
233,BODALCHEM
234,BBTC
235,BOMDYEING
236,BRFL
237,BSHSL
238,BORORENEW
239,BOSCHLTD
